Key,barchart,linechart,scatter-plot,heatmap,piechart,key-value,pagination-table,scroll-table,column-tree,ontology-browser,sunburst,tree,treemap,chord-diagram,force-graph,layered-graph,scorecard,text,breadcrumbs,venn-diagram,named-map,histogram
"--togostanza-node-background_color",,,,,,,,,,○,,,,,,,,,○,,,
"--togostanza-node-background_color_hover",,,,,,,,,,○,,,,,,,,,,,,
"--togostanza-node-background_color_selected",,,,,,,,,,○,,,,,,,,,,,,
"--togostanza-node-border_color",,,,,,,,,,○,,,,,,,,,,,,
"--togostanza-pagination-current_font_color",,,,,,,○,,,,,,,,,,,,,,,
"--togostanza-pagination-placement_horizonal",,,,,,,○,,,,,,,,,,,,,,,
"--togostanza-pagination-placement_vertical",,,,,,,○,,,,,,,,,,,,,,,
"--togostanza-table-column_count",,,,,,○,,,,,,,,,,,,,,,,
"--togostanza-table-key-width_percentage",,,,,,○,,,,,,,,,,,,,,,,
"--togostanza-table-tbody-even_background_color",,,,,,,○,○,,,,,,,,,,,,,,
"--togostanza-table-tbody-odd_background_color",,,,,,,○,○,,,,,,,,,,,,,,
"--togostanza-table-thead-background_color",,,,,,,○,○,,,,,,,,,,,,,,
"--togostanza-theme-background_color",○,○,,○,,○,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○
"--togostanza-theme-background_color_body",,,,,,,○,○,,,,,,,,,,,,,,
"--togostanza-theme-selected_background_color",,,,,,,○,,○,,,,,,,,,,,,,
"--togostanza-theme-series_0_color",○,○,○,○,○,,○,,,,○,○,○,○,○,○,,,○,○,○,○
"--togostanza-theme-series_1_color",○,○,○,○,○,,,,,,○,○,○,○,○,○,,,,○,○,
"--togostanza-theme-series_2_color",○,○,○,○,○,,,,,,○,○,○,○,○,○,,,,○,○,
"--togostanza-theme-series_3_color",○,○,○,○,○,,,,,,○,○,○,○,○,○,,,,○,○,
"--togostanza-theme-series_4_color",○,○,○,○,○,,,,,,○,○,○,○,○,○,,,,○,○,
"--togostanza-theme-series_5_color",○,○,○,○,○,,,,,,○,○,○,○,○,○,,,,○,○,
